"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000187642"	50.556949454408	-2.77758895987912	0.900605630919492	-3.08413456958211	0.00204145232633366	0.0497395831220804
"ENSG00000142609"	23.067190817862	-4.27420935250974	1.34038957294916	-3.18878141009819	0.00142873870411144	0.0396115902881264
"ENSG00000069812"	9.92635617855104	-4.90817543575455	1.1350097575186	-4.32434646772111	1.52984703750391e-05	0.00207234669151747
"ENSG00000120949"	22.4117814553117	-5.45729380995538	0.998892230706055	-5.46334593682639	4.67242790741467e-08	3.24905061921925e-05
"ENSG00000142621"	27.5778579267855	-5.36562220367621	0.854927267427011	-6.27611541719166	3.47136537406581e-10	7.24161530683869e-07
"ENSG00000117115"	892.251311515471	2.98262542059245	0.806731337028351	3.69717312777157	0.000218013666410252	0.0123514171133434
"ENSG00000159339"	9.01900695474209	-6.91163726342903	1.41166080916965	-4.89610338300353	9.77556514686458e-07	0.000318637600826159
"ENSG00000009709"	6.1277792730885	-5.14633753150961	1.52389662572913	-3.37709096838986	0.000732568181355744	0.0260342501384364
"ENSG00000133216"	68.8252427960359	-3.93232788004098	0.69656025316785	-5.64535208857719	1.64843541101527e-08	1.45460843762797e-05
"ENSG00000007968"	41.2448908467481	-2.23455921289068	0.6638728094824	-3.36594477281408	0.000762819792723726	0.0266999726443115
"ENSG00000197880"	13.6340431343668	-5.3599285816291	1.22392421569197	-4.37929776444432	1.19062355310043e-05	0.00173689496092504
"ENSG00000188822"	13.6146518224219	-5.29418442578939	1.23687234577196	-4.2802997770034	1.86641737077976e-05	0.00241834365042464
"ENSG00000184454"	9.38843671336448	-3.29697478637172	0.947633060485883	-3.47916817579291	0.000502972833687892	0.0208764705465271
"ENSG00000176092"	7.76578661904522	-4.50866606631302	1.36323793407109	-3.30732145403892	0.000941927357146756	0.0307452310531758
"ENSG00000176083"	19.1473875236111	-4.21462030418444	1.1748507407168	-3.58736659740539	0.000334034533462399	0.0166705607716725
"ENSG00000158246"	132.968529229708	-2.90411723253756	0.754068968618421	-3.85126209059946	0.000117510654149496	0.00827883983065734
"ENSG00000116329"	13.8288388160736	-3.64971848963703	0.904027174961059	-4.0371778534138	5.4098056222078e-05	0.00504647887407699
"ENSG00000223944"	7.87451170901838	-4.52898440171812	1.25817200550855	-3.59965440487411	0.00031864038416414	0.0161143340227419
"ENSG00000168389"	24.9870836996139	-4.13181571903955	0.924300645329364	-4.47020754547588	7.81437299132845e-06	0.00132449580862763
"ENSG00000186973"	28.742608871964	-6.42159500369607	0.987101512444719	-6.50550619438515	7.74321930204206e-11	2.95385733881368e-07
"ENSG00000230615"	21.9746914570356	-2.56783093963808	0.738542469360525	-3.47689001806689	0.000507265852743066	0.0208764705465271
"ENSG00000171872"	5.74023590986194	-6.25958637902156	1.58649630953284	-3.94554109039481	7.96199761310658e-05	0.00636380200026883
"ENSG00000278139"	5.17416036766645	-4.86242388933968	1.50746181036961	-3.22557019746157	0.00125722000712595	0.0365786144611638
"ENSG00000182183"	16.00217752551	-4.71453173789788	1.27083689019183	-3.70978508279393	0.000207435261690435	0.0120761623199087
"ENSG00000203995"	23.2301513753815	-2.94633492183057	0.681850128580099	-4.32108875298753	1.55261203391409e-05	0.00208961546061173
"ENSG00000174348"	26.2118370679641	3.93855749359494	1.09684176431506	3.59081648942721	0.000329643679654274	0.0165305211568938
"ENSG00000285954"	6.61293756157293	-4.29540847683986	1.328686345531	-3.23282352625009	0.0012257325615495	0.0363390755643997
"ENSG00000230138"	3.89028068644744	-5.69044497398573	1.79675975570098	-3.16705945573992	0.00153988831485038	0.0413964048145539
"ENSG00000162398"	12.0623804484825	-7.33140028678156	1.40586898128764	-5.21485315087234	1.8396291268827e-07	0.000108356182564432
"ENSG00000231090"	6.26858921481493	-5.16062136130331	1.57745449715597	-3.27148667084061	0.00106983631519295	0.0330634894388744
"ENSG00000237352"	10.2027289585107	-4.24596966256859	1.29890392299267	-3.26888662618394	0.00107971554861025	0.0331722327828548
"ENSG00000177414"	7.43862923384706	-5.43098783337642	1.65088480507714	-3.28974366756173	0.00100278689597624	0.0320045748152562
"ENSG00000229051"	7.24216954158622	-5.39545728595594	1.55183154785958	-3.47683180780659	0.000507375991903036	0.0208764705465271
"ENSG00000233973"	5.5946259869913	-6.22194632288974	1.68266537618601	-3.69767299603717	0.000217584930985222	0.0123514171133434
"ENSG00000234184"	4.62637670408819	-5.94456449666794	1.57001117905445	-3.78631985298861	0.000152894847369965	0.00987473501852894
"ENSG00000233290"	5.83474713287648	-5.06336210147186	1.44383870688835	-3.50687516362824	0.00045340180166522	0.0198934304954577
"ENSG00000162676"	22.7097723549173	-3.57604515914424	1.15981282060733	-3.08329507624486	0.00204722051946475	0.0497751366626504
